"Nom_com";"id_insee";"annee";"RP_HLM_SEM";"RS_HLM_SEM";"LV_HLM_SEM";"Parc_tot_HLM_SEM";"RP_autre_PM";"RS_autre_PM";"LV_autre_PM";"Parc_tot_autre_PM";"RP_PP";"RS_PP";"LV_PP";"Parc_tot_PP";"RP_agepro_<40";"RS_agepro_<40";"LV_agepro_<40";"Parc_tot_agepro_<40";"RP_agepro_40_59";"RS_agepro_40_59";"LV_agepro_40_59";"Parc_tot_agepro_40_59";"RP_agepro_60_74";"RS_agepro_60_74";"LV_agepro_60_74";"Parc_tot_agepro_60_74";"RP_agepro>=75";"RS_agepro>=75";"LV_agepro>=75";"Parc_tot_agepro>=75";"RP_agepro_somme";"RS_agepro_somme";"LV_agepro_somme";"Parc_tot_agepro_somme";"RP_agepro_ecart_type";"RS_agepro_ecart_type";"LV_agepro_ecart_type";"Parc_tot_agepro_ecart_type";"RP_agepro_moyenne";"RS_agepro_moyenne";"LV_agepro_moyenne";"Parc_tot_agepro_moyenne";"RP_agepro_mediane";"RS_agepro_mediane";"LV_agepro_mediane";"Parc_tot_agepro_mediane";"RP_mm_com";"RS_mm_com";"LV_mm_com";"Parc_tot_mm_com";"RP_mm_dep";"RS_mm_dep";"LV_mm_dep";"Parc_tot_mm_dep";"RP_mm_reg";"RS_mm_reg";"LV_mm_reg";"Parc_tot_mm_reg";"RP_reste_fr";"RS_reste_fr";"LV_reste_fr";"Parc_tot_reste_fr";"RP_etranger";"RS_etranger";"LV_etranger";"Parc_tot_etranger"
"Afa";"2A001";2019;"0";"0";"0";"0";"71";"s";"s";"108";"1101";"s";"s";"1327";"72";"s";"s";"85";"382";"32";"49";"463";"380";"s";"s";"439";"259";"s";"s";"325";"69141";"6526";"7857";83524;"16";"17";"20";"16";"63";"67";"65";64;"63";"64";"61";63;"1060";"45";"106";"1211";"87";"s";"s";"141";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s"
"Ajaccio";"2A004";2019;"4161";"s";"s";"4731";"1780";"s";"s";"2854";"20931";"3755";"3037";"27723";"1515";"183";"229";"1927";"5937";"855";"799";"7591";"6526";"1281";"821";"8628";"6753";"1384";"1105";"9242";"1393595";"260151";"208420";1862166;"51";"57";"64";"54";"67";"70";"71";68;"66";"70";"68";67;"18717";"1182";"2399";"22298";"2724";"696";"756";"4176";"s";"s";"s";"510";"4906";"2078";"960";"7944";"s";"s";"s";"214"
"Alata";"2A006";2019;"0";"0";"0";"0";"39";"s";"s";"66";"1237";"s";"s";"1516";"s";"s";"s";"87";"469";"s";"s";"548";"438";"45";"45";"528";"s";"s";"s";"342";"78571";"8944";"9381";96896;"56";"18";"17";"51";"64";"70";"64";64;"63";"68";"65";63;"1095";"36";"90";"1221";"123";"s";"s";"206";"s";"0";"s";"s";"s";"59";"s";"s";"s";"s";"0";"s"
"Albitreccia";"2A008";2019;"0";"0";"0";"0";"74";"54";"80";"208";"601";"544";"161";"1306";"s";"s";"s";"53";"192";"s";"s";"349";"s";"230";"s";"515";"144";"171";"44";"359";"44010";"36422";"9901";90333;"137";"15";"18";"94";"74";"68";"66";71;"65";"69";"65";67;"479";"37";"77";"593";"s";"91";"s";"291";"s";"s";"s";"s";"s";"438";"s";"580";"s";"s";"s";"s"
"Altagène";"2A011";2019;"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"19";"s";"s";"s";"25";"s";"2478";"s";4292;"s";"20";"s";"19";"s";"73";"s";72;"s";"73";"s";71;"s";"s";"s";"22";"s";"s";"s";"s";"0";"s";"0";"s";"s";"s";"s";"s";"0";"s";"0";"s"
"Ambiegna";"2A014";2019;"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"s";"s";"0";"s";"0";"s";"s";"0";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"1628";"s";"s";2379;"21";"s";"s";"21";"81";"s";"s";77;"87";"s";"s";79;"s";"0";"s";"25";"0";"s";"s";"s";"0";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0"
"Appietto";"2A017";2019;"0";"0";"0";"0";"24";"22";"25";"71";"645";"250";"119";"1014";"s";"s";"s";"40";"253";"s";"s";"358";"207";"s";"s";"322";"s";"89";"s";"280";"42484";"18900";"7559";68943;"78";"123";"19";"87";"66";"77";"67";69;"63";"70";"65";65;"577";"s";"s";"658";"67";"65";"43";"175";"s";"s";"s";"s";"s";"166";"s";"221";"0";"s";"s";"s"
"Arbellara";"2A018";2019;"0";"0";"0";"0";"s";"s";"s";"s";"s";"s";"s";"s";"0";"s";"0";"s";"33";"s";"s";"48";"s";"28";"s";"49";"s";"16";"s";"s";"4099";"3963";"927";8989;"14";"16";"23";"16";"63";"68";"77";67;"59";"66";"67";65;"s";"s";"s";"68";"s";"18";"s";"36";"0";"s";"s";"s";"s";"s";"s";"34";"0";"s";"0";"s"
"Arbori";"2A019";2019;"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"s";"s";"s";"31";"s";"17";"s";"39";"2102";"2846";"1384";6332;"19";"16";"16";"17";"72";"68";"73";70;"74";"70";"71";72;"s";"s";"s";"41";"s";"s";"13";"s";"s";"s";"0";"s";"s";"s";"s";"30";"0";"s";"0";"s"
"Argiusta-Moriccio";"2A021";2019;"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"s";"45";"s";"62";"s";"48";"s";"79";"3622";"12168";"662";16452;"17";"253";"15";"206";"74";"108";"74";96;"78";"73";"69";73;"39";"s";"s";"54";"s";"s";"s";"s";"0";"s";"0";"s";"s";"79";"s";"90";"0";"0";"0";"0"
