"Nom_com";"id_insee";"annee";"PO_0_foyer_rat";"LP_0_foyer_rat";"LH_0_foyer_rat";"LC_0_foyer_rat";"autres_0_foyer_rat";"Total_menages_0_foyer_rat";"PO_1_foyer_rat";"LP_1_foyer_rat";"LH_1_foyer_rat";"LC_1_foyer_rat";"autres_1_foyer_rat";"Total_menages_1_foyer_rat";"PO_2_foyers_rat";"LP_2_foyers_rat";"LH_2_foyers_rat";"LC_2_foyers_rat";"autres_2_foyers_rat";"Total_menages_2_foyers_rat";"PO_3et+_foyers_rat";"LP_3et+_foyers_rat";"LH_3et+_foyers_rat";"LC_3et+_foyers_rat";"autres_3et+_foyers_rat";"Total_menages_3et+_foyers_rat";"PO_1er_rat_celibataire";"LP_1er_rat_celibataire";"LH_1er_rat_celibataire";"LC_1er_rat_celibataire";"autres_1er_rat_celibataire";"Total_menages_1er_rat_celibataire";"PO_1er_rat_divorce";"LP_1er_rat_divorce";"LH_1er_rat_divorce";"LC_1er_rat_divorce";"autres_1er_rat_divorce";"Total_menages_1er_rat_divorce";"PO_1er_rat_marie_pacse";"LP_1er_rat_marie_pacse";"LH_1er_rat_marie_pacse";"LC_1er_rat_marie_pacse";"autres_1er_rat_marie_pacse";"Total_menages_1er_rat_marie_pacse";"PO_1er_rat_veuf";"LP_1er_rat_veuf";"LH_1er_rat_veuf";"LC_1er_rat_veuf";"autres_1er_rat_veuf";"Total_menages_1er_rat_veuf";"PO_1er_rat_<25ans";"LP_1er_rat_<25ans";"LH_1er_rat_<25ans";"LC_1er_rat_<25ans";"autres_1er_rat_<25ans";"Total_menages_1er_rat_<25ans";"PO_1er_rat_25-59ans";"LP_1er_rat_25-59ans";"LH_1er_rat_25-59ans";"LC_1er_rat_25-59ans";"autres_1er_rat_25-59ans";"Total_menages_1er_rat_25-59ans";"PO_1er_rat_>59ans";"LP_1er_rat_>59ans";"LH_1er_rat_>59ans";"LC_1er_rat_>59ans";"autres_1er_rat_>59ans";"Total_menages_1er_rat_>59ans";"PO_suroccupation_lourde";"LP_suroccupation_lourde";"LH_suroccupation_lourde";"LC_suroccupation_lourde";"autres_suroccupation_lourde";"Total_menages_suroccupation_lourde";"PO_suroccupation";"LP_suroccupation";"LH_suroccupation";"LC_suroccupation";"autres_suroccupation";"Total_menages_suroccupation";"PO_rev_brut_ecart_type";"LP_rev_brut_ecart_type";"LH_rev_brut_ecart_type";"LC_rev_brut_ecart_type";"autres_rev_brut_ecart_type";"Total_menages_rev_brut_ecart_type";"PO_rev_brut_moyenne";"LP_rev_brut_moyenne";"LH_rev_brut_moyenne";"LC_rev_brut_moyenne";"autres_rev_brut_moyenne";"Total_menages_rev_brut_moyenne";"PO_rev_brut_mediane";"LP_rev_brut_mediane";"LH_rev_brut_mediane";"LC_rev_brut_mediane";"autres_rev_brut_mediane";"Total_menages_rev_brut_mediane";"PO_rev_brut_ucm_ecart_type";"LP_rev_brut_ucm_ecart_type";"LH_rev_brut_ucm_ecart_type";"LC_rev_brut_ucm_ecart_type";"autres_rev_brut_ucm_ecart_type";"Total_menages_rev_brut_ucm_ecart_type";"PO_rev_brut_ucm_moyenne";"LP_rev_brut_ucm_moyenne";"LH_rev_brut_ucm_moyenne";"LC_rev_brut_ucm_moyenne";"autres_rev_brut_ucm_moyenne";"Total_menages_rev_brut_ucm_moyenne";"PO_rev_brut_ucm_mediane";"LP_rev_brut_ucm_mediane";"LH_rev_brut_ucm_mediane";"LC_rev_brut_ucm_mediane";"autres_rev_brut_ucm_mediane";"Total_menages_rev_brut_ucm_mediane";"PO_non_imposable";"LP_non_imposable";"LH_non_imposable";"LC_non_imposable";"autres_non_imposable";"Total_menages_non_imposable";"PO_imposable";"LP_imposable";"LH_imposable";"LC_imposable";"autres_imposable";"Total_menages_imposable";"PO_pas_degrevement";"LP_pas_degrevement";"LH_pas_degrevement";"LC_pas_degrevement";"autres_pas_degrevement";"Total_menages_pas_degrevement";"PO_avec_degrevement";"LP_avec_degrevement";"LH_avec_degrevement";"LC_avec_degrevement";"autres_avec_degrevement";"Total_menages_avec_degrevement";"PO_plafond_HLM_<=30%";"LP_plafond_HLM_<=30%";"LH_plafond_HLM_<=30%";"LC_plafond_HLM_<=30%";"autres_plafond_HLM_<=30%";"Total_menages_plafond_HLM_<=30%";"PO_plafond_HLM_<30-60%";"LP_plafond_HLM_<30-60%";"LH_plafond_HLM_<30-60%";"LC_plafond_HLM_<30-60%";"autres_plafond_HLM_<30-60%";"Total_menages_plafond_HLM_<30-60%";"PO_plafond_HLM_<60-100%";"LP_plafond_HLM_<60-100%";"LH_plafond_HLM_<60-100%";"LC_plafond_HLM_<60-100%";"autres_plafond_HLM_<60-100%";"Total_menages_plafond_HLM_<60-100%";"PO_plafond_HLM_<100-130%";"LP_plafond_HLM_<100-130%";"LH_plafond_HLM_<100-130%";"LC_plafond_HLM_<100-130%";"autres_plafond_HLM_<100-130%";"Total_menages_plafond_HLM_<100-130%";"PO_plafond_HLM_<130-150%";"LP_plafond_HLM_<130-150%";"LH_plafond_HLM_<130-150%";"LC_plafond_HLM_<130-150%";"autres_plafond_HLM_<130-150%";"Total_menages_plafond_HLM_<130-150%";"PO_plafond_HLM_>150%";"LP_plafond_HLM_>150%";"LH_plafond_HLM_>150%";"LC_plafond_HLM_>150%";"autres_plafond_HLM_>150%";"Total_menages_plafond_HLM_>150%";"PO_plafond_HLM_somme";"LP_plafond_HLM_somme";"LH_plafond_HLM_somme";"LC_plafond_HLM_somme";"autres_plafond_HLM_somme";"Total_menages_plafond_HLM_somme";"PO_plafond_HLM_ecart_type";"LP_plafond_HLM_ecart_type";"LH_plafond_HLM_ecart_type";"LC_plafond_HLM_ecart_type";"autres_plafond_HLM_ecart_type";"Total_menages_plafond_HLM_ecart_type";"PO_plafond_HLM_moyenne";"LP_plafond_HLM_moyenne";"LH_plafond_HLM_moyenne";"LC_plafond_HLM_moyenne";"autres_plafond_HLM_moyenne";"Total_menages_plafond_HLM_moyenne";"PO_plafond_HLM_mediane";"LP_plafond_HLM_mediane";"LH_plafond_HLM_mediane";"LC_plafond_HLM_mediane";"autres_plafond_HLM_mediane";"Total_mÃ©nages_plafond_HLM_mediane";"PO_<1_seuil_pauvrete";"LP_<1_seuil_pauvrete";"LH_<1_seuil_pauvrete";"LC_<1_seuil_pauvrete";"autres_<1_seuil_pauvrete";"Total_mÃ©nages_<1_seuil_pauvrete";"PO_1-<2_seuil_pauvrete";"LP_1-<2_seuil_pauvrete";"LH_1-<2_seuil_pauvrete";"LC_1-<2_seuil_pauvrete";"autres_1-<2_seuil_pauvrete";"Total_mÃ©nages_1-<2_seuil_pauvrete";"PO_2-<3_seuil_pauvrete";"LP_2-<3_seuil_pauvrete";"LH_2-<3_seuil_pauvrete";"LC_2-<3_seuil_pauvrete";"autres_2-<3_seuil_pauvrete";"Total_menages_2-<3_seuil_pauvrete";"PO_>=3_seuil_pauvrete";"LP_>=3_seuil_pauvrete";"LH_>=3_seuil_pauvrete";"LC_>=3_seuil_pauvrete";"autres_>=3_seuil_pauvrete";"Total_menages_>=3_seuil_pauvrete"
"Afa";"2A001";2019;"697";"175";"0";"s";"s";"905";"169";"s";"0";"s";"s";"200";"s";"s";"0";"0";"s";"52";"s";"0";"0";"0";"0";"s";"174";"s";"0";"s";"s";"201";"s";"s";"0";"0";"0";"31";"s";"s";"0";"0";"0";"18";"s";"s";"0";"0";"0";"16";"s";"s";"0";"0";"0";"23";"170";"s";"0";"s";"s";"198";"s";"s";"0";"0";"s";"45";"s";"0";"0";"s";"s";"s";"s";"s";"0";"s";"s";"25";"43077";"28223";".";"s";"s";41137;"54831";"35397";".";"s";"s";50883;"47180";"28390";".";"s";"s";43226;"20585";"17134";".";"s";"s";20131;"31292";"22650";".";"s";"s";29529;"27635";"20493";".";"s";"s";26410;"820";"s";"0";"s";"s";"1033";"96";"s";"0";"s";"s";"110";".";".";".";".";".";".";".";".";".";".";".";".";"32";"s";"0";"0";"s";"50";"70";"s";"0";"s";"s";"113";"177";"s";"0";"s";"s";"247";"164";"s";"0";"s";"s";"202";"125";"s";"0";"s";"s";"146";"348";"s";"0";"0";"s";"389";"138499";"19962";".";"s";"s";162543;"111";"82";".";"s";"s";107;"151";"105";".";"s";"s";142;"133";"88";".";"s";"s";125;"76";"s";"0";"s";"s";"112";"198";"80";"0";"s";"s";"291";"310";"45";"0";"s";"s";"367";"332";"s";"0";"0";"s";"377"
"Ajaccio";"2A004";2019;"10766";"8043";"3171";"s";"s";"23099";"1572";"824";"s";"s";"s";"3180";"230";"s";"s";"0";"s";"467";"30";"s";"s";"0";"s";"66";"1358";"725";"s";"0";"s";"2830";"282";"131";"s";"s";"s";"530";"106";"s";"s";"0";"s";"215";"86";"s";"s";"0";"s";"138";"125";"s";"s";"0";"s";"319";"1302";"668";"s";"0";"s";"2643";"405";"s";"s";"s";"s";"751";"s";"s";"111";"0";"s";"267";"331";"321";"s";"s";"s";"851";"190245";"40620";"16557";"21819";"34162";134122;"50575";"29455";"21731";"29998";"37386";38714;"37966";"22813";"19156";"22810";"29354";28703;"186015";"25618";"9595";"16829";"20973";129502;"34322";"20698";"14092";"23983";"25415";26411;"27233";"17828";"13123";"21036";"22007";21402;"10691";"7654";"s";"s";"s";"23140";"1486";"668";"s";"s";"s";"2424";".";".";".";".";".";".";".";".";".";".";".";".";"570";"1400";"1020";"s";"s";"3124";"1191";"1635";"1010";"s";"s";"4021";"2530";"2414";"s";"s";"s";"6326";"2139";"1208";"s";"s";"s";"3996";"1217";"537";"s";"s";"s";"2001";"4552";"1177";"s";"s";"288";"6179";"1904068";"773086";"241781";"2692";"138258";3059885;"166";"90";"46";"73";"104";134;"156";"92";"63";"104";"115";119;"125";"79";"56";"90";"96";96;"1088";"2234";"1592";"s";"s";"5130";"2842";"2851";"1429";"s";"s";"7502";"3514";"1993";"s";"s";"s";"6495";"4755";"1293";"s";"s";"307";"6520"
"Alata";"2A006";2019;"766";"s";"0";"s";"s";"970";"218";"s";"0";"0";"s";"243";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"203";"s";"0";"0";"s";"223";"s";"s";"0";"0";"s";"44";"s";"s";"0";"0";"0";"25";"s";"s";"0";"0";"0";"13";"s";"s";"0";"0";"s";"26";"213";"s";"0";"0";"s";"232";"s";"s";"0";"0";"s";"47";"s";"s";"0";"0";"s";"s";"21";"s";"0";"0";"s";"32";"35056";"27286";".";"s";"s";34641;"54423";"32967";".";"s";"s";50609;"48193";"27681";".";"s";"s";45267;"18135";"13976";".";"s";"s";17778;"30601";"20732";".";"s";"s";28865;"27424";"19491";".";"s";"s";25915;"896";"s";"0";"s";"s";"1097";"130";"s";"0";"0";"s";"147";".";".";".";".";".";".";".";".";".";".";".";".";"44";"s";"0";"0";"s";"70";"69";"25";"0";"0";"15";"109";"192";"51";"0";"s";"s";"260";"196";"s";"0";"0";"s";"233";"119";"s";"0";"0";"s";"133";"405";"23";"0";"0";"12";"440";"152191";"15355";".";"s";"s";173008;"100";"68";".";"s";"s";97;"148";"95";".";"s";"s";139;"131";"85";".";"s";"s";124;"74";"s";"0";"0";"s";"117";"236";"s";"0";"s";"s";"323";"341";"s";"0";"0";"s";"395";"374";"s";"0";"0";"s";"410"
"Albitreccia";"2A008";2019;"398";"s";"0";"s";"s";"588";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"64";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"60";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"24";"64502";"26404";".";"s";"s";57568;"51718";"30553";".";"s";"s";45714;"42007";"26035";".";"s";"s";34972;"26385";"18229";".";"s";"s";24925;"32802";"22975";".";"s";"s";29932;"28932";"18925";".";"s";"s";26240;"407";"s";"0";"s";"s";"575";"58";"s";"0";"0";"s";"75";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"s";"54";"s";"s";"0";"s";"s";"62";"97";"s";"0";"s";"s";"140";"74";"s";"0";"s";"s";"105";"s";"s";"0";"0";"s";"68";"192";"s";"0";"0";"s";"224";"73378";"16518";".";"s";"s";92763;"143";"101";".";"s";"s";135;"157";"107";".";"s";"s";142;"134";"86";".";"s";"s";117;"41";"s";"0";"s";"s";"82";"101";"s";"0";"s";"s";"165";"127";"s";"0";"s";"s";"170";"199";"s";"0";"0";"s";"236"
"Altagène";"2A011";2019;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29441";"s";".";"s";"s";36120;"46723";"s";".";"s";"s";46915;"35955";"s";".";"s";"s";33427;"17344";"s";".";"s";"s";17550;"32748";"s";".";"s";"s";29949;"32079";"s";".";"s";"s";29580;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"1912";"s";".";"s";"s";2957;"93";"s";".";"s";"s";90;"147";"s";".";"s";"s";134;"146";"s";".";"s";"s";125;"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s"
"Ambiegna";"2A014";2019;"s";"s";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";22537;"s";"s";".";"s";"s";33071;"s";"s";".";"s";"s";27835;"s";"s";".";"s";"s";10728;"s";"s";".";"s";"s";20230;"s";"s";".";"s";"s";17917;"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";2037;"s";"s";".";"s";"s";51;"s";"s";".";"s";"s";85;"s";"s";".";"s";"s";78;"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s"
"Appietto";"2A017";2019;"388";"s";"0";"0";"s";"507";"95";"s";"0";"0";"s";"110";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"101";"s";"0";"0";"s";"114";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"16";"s";"s";"0";"0";"s";"113";"s";"s";"0";"0";"s";"33";"s";"s";"0";"0";"s";"11";"s";"s";"0";"0";"s";"21";"110879";"21625";".";".";"15557";100009;"56602";"34180";".";".";"30286";51957;"43885";"32119";".";".";"28804";40468;"37936";"11693";".";".";"10086";34480;"30534";"22171";".";".";"20280";28784;"26193";"20927";".";".";"20971";24982;"478";"s";"0";"0";"s";"594";"44";"s";"0";"0";"s";"58";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"42";"60";"s";"0";"0";"s";"73";"111";"s";"0";"0";"s";"157";"86";"s";"0";"0";"s";"110";"s";"s";"0";"0";"s";"65";"188";"s";"0";"0";"s";"208";"77167";"10016";".";".";"2420";89603;"234";"55";".";".";"47";212;"147";"96";".";".";"90";137;"124";"90";".";".";"94";116;"56";"s";"0";"0";"s";"81";"137";"s";"0";"0";"s";"186";"152";"s";"0";"0";"s";"188";"179";"s";"0";"0";"s";"200"
"Arbellara";"2A018";2019;"s";"s";"0";"0";"s";"56";"s";"s";"0";"0";"0";"s";"0";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"22407";"s";".";".";"s";28285;"33072";"s";".";".";"s";34726;"31912";"s";".";".";"s";28494;"14022";"s";".";".";"s";15234;"21221";"s";".";".";"s";21386;"20459";"s";".";".";"s";18320;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"0";"17";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"4101";"s";".";".";"s";5772;"52";"s";".";".";"s";56;"84";"s";".";".";"s";84;"77";"s";".";".";"s";68;"s";"s";"0";"0";"s";"19";"s";"s";"0";"0";"0";"25";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s"
"Arbori";"2A019";2019;"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"30921";"s";".";"s";"s";29587;"36040";"s";".";"s";"s";34887;"26230";"s";".";"s";"s";23219;"9895";"s";".";"s";"s";11317;"22738";"s";".";"s";"s";22447;"20507";"s";".";"s";"s";19533;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"2505";"s";".";"s";"s";3030;"58";"s";".";"s";"s";54;"96";"s";".";"s";"s";92;"81";"s";".";"s";"s";77;"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s"
"Argiusta-Moriccio";"2A021";2019;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";".";".";"s";29447;"s";"s";".";".";"s";31039;"s";"s";".";".";"s";21841;"s";"s";".";".";"s";14659;"s";"s";".";".";"s";21021;"s";"s";".";".";"s";19293;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";".";".";"s";4620;"s";"s";".";".";"s";64;"s";"s";".";".";"s";91;"s";"s";".";".";"s";77;"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"0";"19";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s"
