"Nom_com";"l_codinsee";"lgmt.nb_mut";"lgmt.tot_mut";"lgmt.moy_mut";"lgmt.med_mut";"lgmt.moy_prix_frais";"lgmt.med_prix_frais";"lgmt.moy_prixm2";"lgmt.med_prixm2";"lgmt.moy_prix_fr_m2";"lgmt.med_prix_fr_m2";"App.nb_mut";"App.tot_mut";"App.moy_mut";"App.med_mut";"App.moy_prix_frais";"App.med_prix_frais";"App.moy_prixm2";"App.med_prixm2";"App.moy_prix_fr_m2";"App.med_prix_fr_m2";"Mai.nb_mut";"Mai.tot_mut";"Mai.moy_mut";"Mai.med_mut";"Mai.moy_prix_frais";"Mai.med_prix_frais";"Mai.moy_prixm2";"Mai.med_prixm2";"Mai.moy_prix_fr_m2";"Mai.med_prix_fr_m2"
"Afa";"2A001";"80";"32826855";"410336";"410660";"441111";"441460";"3773";"3724";"4056";"4003";"15";"4027550";"268503";"276000";"288641";"296700";"3858";"3780";"4148";"4064";"65";"28799305";"443066";"440100";"476296";"473108";"3753";"3722";"4035";"4001"
"Aghione";"2B002";"11";"1192985";"108453";"90485";"116587";"97271";"1199";"1124";"1289";"1208";"4";"385485";"96371";"95242";"103599";"102386";"1165";"1302";"1253";"1400";"7";"807500";"115357";"60000";"124009";"64500";"1218";"809";"1310";"869"
"Ajaccio";"2A004";"3472";"813312933";"234249";"197000";"251685";"211775";"3338";"3194";"3586";"3430";"3275";"721641702";"220349";"191000";"236875";"205325";"3279";"3153";"3525";"3390";"167";"83077678";"497471";"364000";"534588";"391300";"4322";"3773";"4644";"4056"
"Alando";"2B005";"1";"41600";"41600";"41600";"44720";"44720";"520";"520";"559";"559";"1";"41600";"41600";"41600";"44720";"44720";"520";"520";"559";"559";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alata";"2A006";"89";"34324274";"385666";"380698";"414591";"409250";"3554";"3656";"3821";"3930";"7";"1876205";"268029";"161580";"288131";"173698";"3925";"4331";"4219";"4655";"82";"32448069";"395708";"395000";"425386";"424625";"3523";"3653";"3787";"3927"
"Albertacce";"2B007";"6";"279250";"46542";"27000";"50032";"29025";"856";"792";"920";"851";"3";"64250";"21417";"20250";"23023";"21769";"649";"667";"697";"717";"3";"215000";"71667";"50000";"77042";"53750";"1063";"794";"1143";"853"
"Albitreccia";"2A008";"163";"69998628";"429439";"272800";"460612";"293260";"4950";"5000";"5311";"5375";"87";"19202754";"220721";"181800";"237275";"195435";"4724";"4800";"5079";"5160";"72";"49485874";"687304";"608500";"737417";"654138";"5240";"5324";"5624";"5631"
"Aléria";"2B009";"46";"8665736";"188386";"159800";"201897";"171785";"2146";"2346";"2300";"2522";"20";"2641485";"132074";"137500";"141980";"147812";"2047";"2149";"2200";"2311";"24";"5861123";"244213";"251775";"261686";"270658";"2308";"2431";"2474";"2613"
"Algajola";"2B010";"50";"13945491";"278910";"208600";"299398";"224245";"4625";"4574";"4964";"4917";"40";"8542961";"213574";"192119";"229592";"206528";"4416";"4609";"4747";"4955";"8";"4972530";"621566";"487500";"668184";"524062";"5881";"4856";"6322";"5220"
"Altagène";"2A011";"1";"195000";"195000";"195000";"209625";"209625";"1893";"1893";"2035";"2035";"1";"195000";"195000";"195000";"209625";"209625";"1893";"1893";"2035";"2035";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
